CPD_ID	CPD_NAME	mz_row_Statistic	From_mz_row	From_EmpiricalCompound
C05462	Chenodeoxyglycocholate	2.5683357193427003	row198	E180
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate	-6.36479241310637	row17	E44
C05938	L-4-Hydroxyglutamate semialdehyde	-3.9980532066296695	row88	E48
C00064	L-Glutamine	-3.92476039813466	row93	E7
C00152	L-Asparagine	6.637318695875	row9	E27
C00984	alpha-D-Galactose	3.34901216576473	row129	E150
C00327	L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline	-2.65953215138089	row188	E208
C00217	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid	3.0366353011857097	row155	E48
C00025	L-Glutamate	-3.9980532066296695	row88	E48
tetpent6crn	tetracosapentaenoyl carnitine	-2.57301924030854	row195	E216
C01252	4-(2-Aminophenyl)-2,4-dioxobutanoate	2.8288737565228903	row171	E200
C01879	5-Oxoproline	-4.64182382230172	row61	E42
C05466		2.8621769233633705	row167	E179
C00906	5,6-Dihydrothymine	-6.4428804590589	row15	E15
C05100	3-Ureidoisobutyrate	-3.92476039813466	row93	E7
C05660	5-Methoxyindoleacetate	-2.4880123979537903	row205	E223
pcrn	propionyl-carnitine	-3.24626627854567	row137	E154
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate	-4.64182382230172	row61	E42
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate	-3.7866608839346405	row98	E44
C01879	5-Oxoproline	-6.253689982318339	row20	E44
C00328	L-Kynurenine	4.07637391147651	row82	E103
C05466		2.5683357193427003	row198	E180
C00064	L-Glutamine	-4.01661042089861	row87	E11
dcsptn1crn	docosa-4,7,10,13,16-pentaenoyl carnitine	-4.33619940370111	row68	E88
C00267	alpha-D-Glucose	3.34901216576473	row129	E150
C02990	L-Palmitoylcarnitine	-4.35272798015441	row67	E86
clpndcrn	clupanodonyl carnitine	-4.33619940370111	row68	E88
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate	-6.253689982318339	row20	E44
C00819	D-Glutamine; D-2-Aminoglutaramic acid	-6.54603865763937	row12	E11
C00095	D-Fructose	3.34901216576473	row129	E150
C14802	1-Nitronaphthalene-7,8-oxide	2.8288737565228903	row171	E197
C00819	D-Glutamine; D-2-Aminoglutaramic acid	-6.4428804590589	row15	E11
C05100	3-Ureidoisobutyrate	-4.01661042089861	row87	E11
C00064	L-Glutamine	-6.253689982318339	row20	E11
C00064	L-Glutamine	2.73714947103078	row181	E9
C04282	1-Pyrroline-4-hydroxy-2-carboxylate	-6.36479241310637	row17	E44
C00245	Taurine	-6.82121637835256	row7	E24
C00247	L-Sorbose; L-xylo-Hexulose	3.34901216576473	row129	E150
C00819	D-Glutamine; D-2-Aminoglutaramic acid	-7.130432166859549	row2	E11
C01879	5-Oxoproline	-3.7866608839346405	row98	E44
elaidcrn	Elaidic carnitine	-2.76564242845247	row179	E204
C05634	5-Hydroxyindoleacetaldehyde	-2.62520911714451	row190	E133
C00073	L-Methionine	-3.5771601677355402	row115	E107
C00936		3.34901216576473	row129	E150
tetpent3crn	tetracosapentaenoyl carnitine	-2.57301924030854	row195	E216
C00078	L-Tryptophan	-2.4880123979537903	row205	E221
C06124	Sphingosine 1-phosphate	-5.55745988790797	row31	E72
lneldccrn	Linoelaidyl carnitine	-3.1558414124983103	row146	E169
C00073	L-Methionine	-3.8024170988795603	row95	E107
C05100	3-Ureidoisobutyrate	-6.253689982318339	row20	E11
C01717	4-Hydroxy-2-quinolinecarboxylic acid	2.8288737565228903	row171	E197
C05100	3-Ureidoisobutyrate	2.73714947103078	row181	E9
C00293	Glucose	3.34901216576473	row129	E150
C00738	D-Hexose	3.34901216576473	row129	E150
C05938	L-4-Hydroxyglutamate semialdehyde	3.0366353011857097	row155	E48
