pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Vitamin B9 (folate) metabolism	2	8	0.30518443828249725	E554,E319	,	$
Saturated fatty acids beta-oxidation	2	8	0.30518443828249725	E404,E389	C00249,	Hexadecanoate (n-C16:0)$
Alanine and Aspartate Metabolism	4	17	0.30787328795899505	E554,E488,E512,E516	,,,	$$$
Tyrosine metabolism	11	48	0.31535165112175445	E537,E554,E398,E195,E488,E453,E542,E98,E197,E100,E516	,,,,,,,,,,	$$$$$$$$$$
Putative anti-Inflammatory metabolites formation from EPA	1	4	0.3314847491807411	E554		
Propanoate metabolism	1	4	0.3314847491807411	E470		
Biopterin metabolism	1	4	0.3314847491807411	E453		
Vitamin A (retinol) metabolism	1	4	0.3314847491807411	E6	CE5932/C02075/C06428/CE5013	13,14-epoxy-retinol/Retinyl ester; all-trans-Retinyl ester/(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate/
Phosphatidylinositol phosphate metabolism	2	9	0.335097890933535	E498,E404	,C00249	$Hexadecanoate (n-C16:0)
Glutamate metabolism	3	14	0.34324846651541885	E554,E488,E516	,,	$$
Aspartate and asparagine metabolism	13	59	0.34644147550626	E554,E53,E610,E566,E158,E605,E162,E583,E487,E470,E483,E512,E516	,,,,,,,,,,,,	$$$$$$$$$$$$
Valine, leucine and isoleucine degradation	6	28	0.3476178472397278	E554,E65,E168,E41,E470,E190	,,,,,	$$$$$
Nitrogen metabolism	2	10	0.3650953701369633	E554,E516	,	$
Starch and Sucrose Metabolism	1	5	0.3728258129568944	E498		
Xenobiotics metabolism	3	16	0.39425258381648604	E104,E443,E404	C02679,C06424,C00249	Dodecanoate (n-C12:0)$tetradecanoate (n-C14:0)$Hexadecanoate (n-C16:0)
Squalene and cholesterol biosynthesis	1	6	0.4104697084278632	E173		
Sialic acid metabolism	2	13	0.4408032938408537	E498,E319	,	$
Fructose and mannose metabolism	2	13	0.4408032938408537	E415,E420	,	$
Glycerophospholipid metabolism	5	29	0.44710528527014537	E477,E510,E319,E149,E91	,,,,C01595	$$$$linoleic acid (all cis C18:2) n-6
Galactose metabolism	2	14	0.46239811780522644	E415,E498	,	$
Keratan sulfate degradation	1	8	0.46525502058650536	E420		
Arachidonic acid metabolism	1	8	0.46525502058650536	E554		
Beta-Alanine metabolism	3	20	0.469288295101252	E605,E488,E554	,,	$$
Tryptophan metabolism	4	26	0.47844718931182256	E268,E207,E488,E554	,,,	$$$
Butanoate metabolism	4	26	0.47844718931182256	E554,E470,E184,E293	,,,C00246	$$$Butanoic acid; Butanoate; Butyrate; Butyric acid
Urea cycle/amino group metabolism	9	53	0.4943282077136375	E537,E554,E158,E605,E162,E583,E488,E53,E512	,,,,,,,,	$$$$$$$$
N-Glycan Degradation	1	10	0.49760524325686917	E420		
Methionine and cysteine metabolism	2	17	0.5018065708763969	E554,E319	,	$
Purine metabolism	2	18	0.5092009074867658	E554,E516	,	$
Pyrimidine metabolism	3	25	0.5132341820015125	E488,E554,E516	,,	$$
Glycosphingolipid metabolism	2	20	0.5180236954877742	E319,E404	,C00249	$Hexadecanoate (n-C16:0)
Glycine, serine, alanine and threonine metabolism	5	44	0.5281909083270313	E554,E488,E374,E319,E512	,,,,	$$$$
Histidine metabolism	2	26	0.5286950676413746	E554,E488	,	$
Vitamin D3 (cholecalciferol) metabolism	0	0	0.5312998907654819			
Hyaluronan Metabolism	0	2	0.5312998907654819			
N-Glycan biosynthesis	0	4	0.5312998907654819			
Glycolysis and Gluconeogenesis	0	5	0.5312998907654819			
Glycosphingolipid biosynthesis - ganglioseries	0	6	0.5312998907654819			
R Group Synthesis	0	0	0.5312998907654819			
C5-Branched dibasic acid metabolism	0	0	0.5312998907654819			
Pyruvate Metabolism	0	2	0.5312998907654819			
Chondroitin sulfate degradation	0	6	0.5312998907654819			
Vitamin B2 (riboflavin) metabolism	0	0	0.5312998907654819			
Glycerolipid metabolism	0	0	0.5312998907654819			
3-oxo-10R-octadecatrienoate beta-oxidation	0	1	0.5312998907654819			
Vitamin B1 (thiamin) metabolism	0	1	0.5312998907654819			
Glycosphingolipid biosynthesis - globoseries	0	6	0.5312998907654819			
Vitamin B5 - CoA biosynthesis from pantothenate	0	0	0.5312998907654819			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.5312998907654819			
Glycosphingolipid biosynthesis - lactoseries	0	1	0.5312998907654819			
Bile acid biosynthesis	0	9	0.5312998907654819			
Parathio degradation	0	1	0.5312998907654819			
Blood Group Biosynthesis	0	1	0.5312998907654819			
Electron transport chain	0	0	0.5312998907654819			
Vitamin H (biotin) metabolism	0	1	0.5312998907654819			
Caffeine metabolism	0	0	0.5312998907654819			
Lipoate metabolism	0	1	0.5312998907654819			
Heparan sulfate biosynthesis	0	0	0.5312998907654819			
Drug metabolism - cytochrome P450	0	0	0.5312998907654819			
Glyoxylate and Dicarboxylate Metabolism	0	3	0.5312998907654819			
Glycosaminoglycan degradation	0	0	0.5312998907654819			
Fatty acid oxidation	0	0	0.5312998907654819			
ROS Detoxification	0	0	0.5312998907654819			
CoA Catabolism	0	0	0.5312998907654819			
Omega-3 fatty acid metabolism	0	1	0.5312998907654819			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.5312998907654819			
Glycosphingolipid biosynthesis - neolactoseries	0	1	0.5312998907654819			
Geraniol degradation	0	0	0.5312998907654819			
D4&E4-neuroprostanes formation	0	0	0.5312998907654819			
Vitamin D	0	0	0.5312998907654819			
Dynorphin metabolism	0	0	0.5312998907654819			
Heparan sulfate degradation	0	6	0.5312998907654819			
Fatty acid oxidation, peroxisome	0	1	0.5312998907654819			
Keratan sulfate biosynthesis	0	1	0.5312998907654819			
TCA cycle	0	1	0.5312998907654819			
3-Chloroacrylic acid degradation	0	0	0.5312998907654819			
Sphingolipid metabolism	0	0	0.5312998907654819			
O-Glycan biosynthesis	0	1	0.5312998907654819			
Proteoglycan biosynthesis	0	0	0.5312998907654819			
Vitamin K metabolism	0	0	0.5312998907654819			
Porphyrin metabolism	0	7	0.5312998907654819			
Prostaglandin formation from arachidonate	0	0	0.5312998907654819			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	0	0.5312998907654819			
Vitamin B6 (pyridoxine) metabolism	0	2	0.5312998907654819			
Pentose and Glucuronate Interconversions	0	2	0.5312998907654819			
Atrazine degradation	0	0	0.5312998907654819			
Leukotriene metabolism	0	5	0.5312998907654819			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.5312998907654819			
Carbon fixation	0	4	0.5312998907654819			
Nucleotide Sugar Metabolism	0	0	0.5312998907654819			
Ubiquinone Biosynthesis	0	1	0.5312998907654819			
1- and 2-Methylnaphthalene degradation	0	0	0.5312998907654819			
Drug metabolism - other enzymes	0	0	0.5312998907654819			
Prostaglandin formation from dihomo gama-linoleic acid	0	0	0.5312998907654819			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.5312998907654819			
Omega-6 fatty acid metabolism	0	0	0.5312998907654819			
Phytanic acid peroxisomal oxidation	0	1	0.5312998907654819			
Pentose phosphate pathway	0	7	0.5312998907654819			
