EID	massfeature_rows	str_row_ion	compounds	compound_names
E28	row207;row3451;row37;row3883;row77	row207_M+H2O+H[1+];row3451_M+HCOONa[1+];row37_M-H4O2+H[1+];row3883_M-HCOOH+H[1+];row77_M-H2O+H[1+]	C06423	Octanoic acid; Caprylic acid; Octylic acid
E29	row2824	row2824_M+H[1+]	C06423	Octanoic acid; Caprylic acid; Octylic acid
E30	row1052;row167;row2604;row426;row529;row973	row1052_M+H2O+H[1+];row167_M-H4O2+H[1+];row2604_M-H2O+H[1+];row426_M-H2O+H[1+];row529_M+H[1+];row973_M-H4O2+H[1+]	C06423	Octanoic acid; Caprylic acid; Octylic acid
E36	row2930;row2948;row3039;row3604	row2930_M+H[1+];row2948_M(C13)+H[1+];row3039_M-HCOOH+H[1+];row3604_M+Na[1+]	C00123;C00407	L-Leucine$L-Isoleucine
E38	row2166;row2863;row3089;row3695	row2166_M+H[1+];row2863_M+H2O+H[1+];row3089_M+H2O+H[1+];row3695_M-CO+H[1+]	C00123;C00407	L-Leucine$L-Isoleucine
E40	row2086	row2086_M-H2O+H[1+]	C00123;C00407	L-Leucine$L-Isoleucine
E41	row1012;row3653;row642;row817	row1012_M-H2O+H[1+];row3653_M-H2O+H[1+];row642_M+H[1+];row817_M+H[1+]	C00123;C00407	L-Leucine$L-Isoleucine
E49	row1191;row1620;row1797;row2373;row2916;row3114;row3862;row903	row1191_M+H[1+];row1620_M+K[1+];row1797_M(C13)+H[1+];row2373_M-NH3+H[1+];row2916_M+Na[1+];row3114_M-HCOOH+H[1+];row3862_M-CO2+H[1+];row903_M[1+]	CE4788;C00763;C00148	acetamidopropanal$D-Proline$L-Proline
E50	row1953;row2672;row2801;row4033	row1953_M-HCOOH+H[1+];row2672_M+Na[1+];row2801_M(C13)+H[1+];row4033_M+H[1+]	CE4788;C00763;C00148	acetamidopropanal$D-Proline$L-Proline
E53	row1487;row3048;row375;row635	row1487_M-CO+H[1+];row3048_M-H4O2+H[1+];row375_M+H[1+];row635_M-HCOOH+H[1+]	CE4788;C00763;C00148	acetamidopropanal$D-Proline$L-Proline
E65	row42	row42_M-H2O+H[1+]	C00141	3-Methyl-2-oxobutanoate
E66	row2196	row2196_M-H2O+H[1+]	C00141	3-Methyl-2-oxobutanoate
E67	row2373	row2373_M-H2O+H[1+]	C00141	3-Methyl-2-oxobutanoate
E73	row43;row880;row944	row43_M+2H[2+];row880_M-H2O+H[1+];row944_M+H[1+]	C01530	octadecanoate (n-C18:0)
E74	row1684;row3521	row1684_M+H[1+];row3521_M+H[1+]	C01530	octadecanoate (n-C18:0)
E80	row3731	row3731_M+H[1+]	C05543	3-Dehydroxycarnitine
E81	row1028;row1309;row2612;row2706	row1028_M-CO2+H[1+];row1309_M-C3H4O2+H[1+];row2612_M(C13)+H[1+];row2706_M+H[1+]	C05543	3-Dehydroxycarnitine
E83	row109;row118;row170;row48;row84;row96	row109_M-C3H4O2+H[1+];row118_M+H[1+];row170_M-HCOOH+H[1+];row48_M-CO2+H[1+];row84_M-CO+H[1+];row96_M+H2O+H[1+]	C11924	Perillic acid
E86	row261;row3793;row48;row50	row261_M+HCOONa[1+];row3793_M-HCOOH+H[1+];row48_M-H4O2+H[1+];row50_M-H2O+H[1+]	C01601	
E91	row233;row2403;row3568;row4030;row50;row897	row233_M-CO+H[1+];row2403_M+H[1+];row3568_M(C13)+H[1+];row4030_M-H2O+H[1+];row50_M+2H[2+];row897_M+H2O+H[1+]	C01595	linoleic acid (all cis C18:2) n-6
E92	row1452;row51;row70;row89	row1452_M-C3H4O2+H[1+];row51_M-HCOOH+H[1+];row70_M-H2O+H[1+];row89_M-H4O2+H[1+]	C08261	
E98	row133;row221;row2377;row2957;row53	row133_M-CO+H[1+];row221_M-HCOOH+H[1+];row2377_M-H2O+H[1+];row2957_M-C3H4O2+H[1+];row53_M-CO2+H[1+]	C05581	3-Methoxy-4-hydroxyphenylacetaldehyde
E99	row2535;row3654	row2535_M-H4O2+H[1+];row3654_M-H2O+H[1+]	C05581	3-Methoxy-4-hydroxyphenylacetaldehyde
E100	row1186;row1724;row599	row1186_M-CO+H[1+];row1724_M+H[1+];row599_M-HCOOH+H[1+]	C05581	3-Methoxy-4-hydroxyphenylacetaldehyde
E101	row898	row898_M+H[1+]	C05581	3-Methoxy-4-hydroxyphenylacetaldehyde
E104	row175;row325;row55	row175_M-H2O+H[1+];row325_M+2H[2+];row55_M-H4O2+H[1+]	C02679	Dodecanoate (n-C12:0)
E107	row1824;row2206;row3101	row1824_M+2H[2+];row2206_M-H2O+H[1+];row3101_M-H2O+H[1+]	C02679	Dodecanoate (n-C12:0)
E108	row1098;row170;row236;row3793;row56;row648;row82;row84	row1098_M-CO+H[1+];row170_M-H4O2+H[1+];row236_M-HCOOH+H[1+];row3793_M-CO2+H[1+];row56_M+H[1+];row648_M-C3H4O2+H[1+];row82_M-HCOOH+H[1+];row84_M-H2O+H[1+]	CE2006;CE6506	$
E109	row2463;row2547;row2781;row3143;row3507;row475	row2463_M-C3H4O2+H[1+];row2547_M-CO+H[1+];row2781_M-CO2+H[1+];row3143_M+H[1+];row3507_M-C3H4O2+H[1+];row475_M-CO2+H[1+]	CE2006;CE6506	$
E110	row1097;row123;row177;row2681;row56;row74	row1097_M+Na[1+];row123_M-C3H4O2+H[1+];row177_M-CO2+H[1+];row2681_M-H2O+H[1+];row56_M+2H[2+];row74_M-HCOOH+H[1+]	C04717;C14827	(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid; (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate; 13(S)-HPODE; 13S-Hydroperoxy-9Z,11E-octadecadienoic acid$9(S)-HPODE; 9(S)-HPOD; (10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid
E114	row154;row59	row154_M+H2O+H[1+];row59_M+H[1+]	C06078;C00521;C06099;C06306	$(-)-Limonene; (-)-(S)-Limonene; (-)-(4S)-Limonene$(+)-Limonene; (+)-(R)-Limonene; (+)-(4R)-Limonene$
E119	row1186;row1724	row1186_M-HCOOH+H[1+];row1724_M-H2O+H[1+]	C00588;C05594	Choline phosphate$3-Methoxy-4-hydroxyphenylethyleneglycol
E120	row898	row898_M-H2O+H[1+]	C00588;C05594	Choline phosphate$3-Methoxy-4-hydroxyphenylethyleneglycol
E123	row1098;row325;row62;row75;row77	row1098_M-CO2+H[1+];row325_M-C3H4O2+H[1+];row62_M-H2O+H[1+];row75_M-H4O2+H[1+];row77_M-HCOOH+H[1+]	CE2576	
E125	row1824;row2547;row2604;row2750;row3985;row426;row529	row1824_M-C3H4O2+H[1+];row2547_M-CO2+H[1+];row2604_M-HCOOH+H[1+];row2750_M-H2O+H[1+];row3985_M-H2O+H[1+];row426_M-HCOOH+H[1+];row529_M-CO+H[1+]	CE2576	
E129	row2327;row712	row2327_M-H2O+H[1+];row712_M-CO2+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol
E130	row3025;row802	row3025_M-H2O+H[1+];row802_M-H2O+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol
E141	row1958;row712	row1958_M+H[1+];row712_M+H2O+H[1+]	C02846;C05332	N,N-Dimethylaniline; Dimethylaminobenzene; N,N-Dimethylbenzenamine$Phenethylamine
E145	row1078;row1600;row1903;row75;row89	row1078_M-H2O+H[1+];row1600_M+H[1+];row1903_M-HCOOH+H[1+];row75_M-CO2+H[1+];row89_M-CO+H[1+]	C00590	Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol
E146	row1946;row75	row1946_M+H[1+];row75_M+2H[2+]	C00951	Estradiol-17beta; beta-Estradiol; Estradiol
E149	row86	row86_M+H[1+]	C06459	N-Trimethyl-2-aminoethylphosphonate; 2-Trimethylaminoethylphosphonate
E158	row263;row98	row263_M+H[1+];row98_M-NH3+H[1+]	C05936;C00408	N4-Acetylaminobutanal$L-Pipecolate; Pipecolinic acid; Pipecolic acid; 2-Piperidinecarboxylic acid
E160	row968	row968_M+H[1+]	C05936;C00408	N4-Acetylaminobutanal$L-Pipecolate; Pipecolinic acid; Pipecolic acid; 2-Piperidinecarboxylic acid
E162	row1720;row2384;row2598;row2828;row3039;row3211;row3401;row460;row95	row1720_M+H2O+H[1+];row2384_M+H[1+];row2598_M(C13)+H[1+];row2828_M(C13)+H[1+];row3039_M-CO2+H[1+];row3211_M+H[1+];row3401_M+H2O+H[1+];row460_M+H2O+H[1+];row95_M-CO2+H[1+]	C05936;C00408	N4-Acetylaminobutanal$L-Pipecolate; Pipecolinic acid; Pipecolic acid; 2-Piperidinecarboxylic acid
E164	row2735;row3791	row2735_M+H[1+];row3791_M(C13)+H[1+]	C05936;C00408	N4-Acetylaminobutanal$L-Pipecolate; Pipecolinic acid; Pipecolic acid; 2-Piperidinecarboxylic acid
E166	row1056;row1467;row1633	row1056_M-CO+H[1+];row1467_M-HCOOH+H[1+];row1633_M+H[1+]	C05936;C00408	N4-Acetylaminobutanal$L-Pipecolate; Pipecolinic acid; Pipecolic acid; 2-Piperidinecarboxylic acid
E168	row1039;row116;row2957;row310;row98	row1039_M-CO2+H[1+];row116_M+H[1+];row2957_M-H4O2+H[1+];row310_M-CO+H[1+];row98_M-H2O+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
E172	row116;row2957;row98	row116_M+H2O+H[1+];row2957_M-H2O+H[1+];row98_M+H[1+]	C04221	trans-1,2-Dihydrobenzene-1,2-diol
E173	row116;row310;row98	row116_M-H2O+H[1+];row310_M-HCOOH+H[1+];row98_M-H4O2+H[1+]	C00418	(R)-Mevalonate
E174	row1048;row3469	row1048_M+H[1+];row3469_M[1+]	C00418	(R)-Mevalonate
E175	row2957;row98	row2957_M+H[1+];row98_M+H2O+H[1+]	C00146;C15584	Phenol; Benzenol; Hydroxybenzene; Phenic acid; Phenylic acid$Phenol
E176	row809	row809_M+Na[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E178	row2889	row2889_M-H2O+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E179	row2357	row2357_M-H2O+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E180	row1309;row3759;row3770;row3828;row3841;row3862	row1309_M-CO2+H[1+];row3759_M(C13)+H[1+];row3770_M+Na[1+];row3828_M+H[1+];row3841_M-H2O+H[1+];row3862_M-HCOOH+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E181	row1516;row1517;row2078	row1516_M(C13)+H[1+];row1517_M+H[1+];row2078_M+Na[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E182	row2391	row2391_M+Na[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E183	row1363;row4072	row1363_M-H2O+H[1+];row4072_M+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E184	row100;row310;row357;row386;row754	row100_M-HCOOH+H[1+];row310_M-CO2+H[1+];row357_M+H2O+H[1+];row386_M+H[1+];row754_M-H2O+H[1+]	C06006	(S)-2-Aceto-2-hydroxybutanoate; (S)-2-Hydroxy-2-ethyl-3-oxobutanoate
E185	row2025;row4020	row2025_M-H2O+H[1+];row4020_M+H2O+H[1+]	C06006	(S)-2-Aceto-2-hydroxybutanoate; (S)-2-Hydroxy-2-ethyl-3-oxobutanoate
E187	row103;row163;row1734;row285	row103_M-CO+H[1+];row163_M+H2O+H[1+];row1734_M-H2O+H[1+];row285_M+H[1+]	C02452;C11409;C02759;C00964	Perillyl alcohol; (-)-Perillyl alcohol; p-Mentha-1,8-dien-7-ol; (-)-Perillylalcohol$(+)-trans-Carveol; (4S,6R)-trans-Carveol$$(-)-trans-Carveol
E190	row116	row116_M+H[1+]	C00671	(S)-3-Methyl-2-oxopentanoate
E193	row3969	row3969_M-H2O+H[1+]	C05583;C05582	3-Methoxy-4-hydroxyphenylglycolaldehyde$Homovanillate; Homovanillic acid
E195	row133;row221	row133_M+H2O+H[1+];row221_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E196	row3348	row3348_M-H2O+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E197	row1186;row599	row1186_M+H2O+H[1+];row599_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E198	row134	row134_M+Na[1+]	CE2186;CE2183;CE2182;C05302;C05284;C05290;C05140	4-methoxy-17beta-estradiol$2-hydroxy-3-methoxy-17beta-estradiol$2-methoxy-17beta-estradiol$2-Methoxyestradiol-17beta$11beta-Hydroxyandrost-4-ene-3,17-dione; Androst-4-ene-3,17-dione-11beta-ol; 4-Androsten-11beta-ol-3,17-dione$19-Hydroxyandrost-4-ene-3,17-dione; 19-Hydroxyandrostenedione$16alpha-Hydroxyandrost-4-ene-3,17-dione; 4-Androsten-16alpha-ol-3,17-dione
E199	row652	row652_M+Na[1+]	CE2186;CE2183;CE2182;C05302;C05284;C05290;C05140	4-methoxy-17beta-estradiol$2-hydroxy-3-methoxy-17beta-estradiol$2-methoxy-17beta-estradiol$2-Methoxyestradiol-17beta$11beta-Hydroxyandrost-4-ene-3,17-dione; Androst-4-ene-3,17-dione-11beta-ol; 4-Androsten-11beta-ol-3,17-dione$19-Hydroxyandrost-4-ene-3,17-dione; 19-Hydroxyandrostenedione$16alpha-Hydroxyandrost-4-ene-3,17-dione; 4-Androsten-16alpha-ol-3,17-dione
E200	row1548	row1548_M+Na[1+]	CE2186;CE2183;CE2182;C05302;C05284;C05290;C05140	4-methoxy-17beta-estradiol$2-hydroxy-3-methoxy-17beta-estradiol$2-methoxy-17beta-estradiol$2-Methoxyestradiol-17beta$11beta-Hydroxyandrost-4-ene-3,17-dione; Androst-4-ene-3,17-dione-11beta-ol; 4-Androsten-11beta-ol-3,17-dione$19-Hydroxyandrost-4-ene-3,17-dione; 19-Hydroxyandrostenedione$16alpha-Hydroxyandrost-4-ene-3,17-dione; 4-Androsten-16alpha-ol-3,17-dione
E201	row3147	row3147_M+Na[1+]	CE2186;CE2183;CE2182;C05302;C05284;C05290;C05140	4-methoxy-17beta-estradiol$2-hydroxy-3-methoxy-17beta-estradiol$2-methoxy-17beta-estradiol$2-Methoxyestradiol-17beta$11beta-Hydroxyandrost-4-ene-3,17-dione; Androst-4-ene-3,17-dione-11beta-ol; 4-Androsten-11beta-ol-3,17-dione$19-Hydroxyandrost-4-ene-3,17-dione; 19-Hydroxyandrostenedione$16alpha-Hydroxyandrost-4-ene-3,17-dione; 4-Androsten-16alpha-ol-3,17-dione
E202	row1268	row1268_M+Na[1+]	CE2186;CE2183;CE2182;C05302;C05284;C05290;C05140	4-methoxy-17beta-estradiol$2-hydroxy-3-methoxy-17beta-estradiol$2-methoxy-17beta-estradiol$2-Methoxyestradiol-17beta$11beta-Hydroxyandrost-4-ene-3,17-dione; Androst-4-ene-3,17-dione-11beta-ol; 4-Androsten-11beta-ol-3,17-dione$19-Hydroxyandrost-4-ene-3,17-dione; 19-Hydroxyandrostenedione$16alpha-Hydroxyandrost-4-ene-3,17-dione; 4-Androsten-16alpha-ol-3,17-dione
E203	row1136;row135;row1651;row177;row233;row3576	row1136_M+H[1+];row135_M-C3H4O2+H[1+];row1651_M+Na[1+];row177_M-CO+H[1+];row233_M-CO2+H[1+];row3576_M-H2O+H[1+]	C14762;C14826;C14825	13(S)-HODE; (13S)-Hydroxyoctadecadienoic acid; (9Z, 11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid$12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid$9(10)-EpOME; (9R,10S)-(12Z)-9,10-Epoxyoctadecenoic acid
E207	row365;row843;row938	row365_M-H4O2+H[1+];row843_M-H4O2+H[1+];row938_M+H[1+]	C00108	Anthranilate
E208	row1735	row1735_M+H[1+]	C00108	Anthranilate
E219	row145;row325	row145_M-H2O+H[1+];row325_M+H[1+]	C02373	4-Methylpentanal; Isocaproaldehyde; Isohexanal
E220	row1824	row1824_M+H[1+]	C02373	4-Methylpentanal; Isocaproaldehyde; Isohexanal
E247	row1659;row4051	row1659_M+H[1+];row4051_M-H4O2+H[1+]	C05519;C00188	L-Allo-threonine$L-Threonine
E249	row1280	row1280_M-H2O+H[1+]	C05519;C00188	L-Allo-threonine$L-Threonine
E250	row2016;row4046	row2016_M+H[1+];row4046_M-CO2+H[1+]	C05519;C00188	L-Allo-threonine$L-Threonine
E251	row1502;row2732;row2759;row3313;row3367;row3619;row3752	row1502_M-HCOOH+H[1+];row2732_M+H[1+];row2759_M+Na[1+];row3313_M-H4O2+H[1+];row3367_M-CO2+H[1+];row3619_M(C13)+H[1+];row3752_M-H2O+H[1+]	C05519;C00188	L-Allo-threonine$L-Threonine
E255	row3896;row704	row3896_M-H2O+H[1+];row704_M+H[1+]	C02356;C01026;C00334;C05145;C01205;C03284	(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid$N,N-Dimethylglycine; Dimethylglycine$4-Aminobutanoate$3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate$D-3-Amino-isobutanoate$L-3-Amino-isobutanoate
E257	row2321	row2321_M+H[1+]	C02356;C01026;C00334;C05145;C01205;C03284	(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid$N,N-Dimethylglycine; Dimethylglycine$4-Aminobutanoate$3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate$D-3-Amino-isobutanoate$L-3-Amino-isobutanoate
E258	row3093;row4046	row3093_M+H[1+];row4046_M-CO+H[1+]	C02356;C01026;C00334;C05145;C01205;C03284	(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid$N,N-Dimethylglycine; Dimethylglycine$4-Aminobutanoate$3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate$D-3-Amino-isobutanoate$L-3-Amino-isobutanoate
E265	row166	row166_M+H[1+]	C00174	Acid
E266	row191;row2876;row3109;row3224	row191_M-CO+H[1+];row2876_M-H2O+H[1+];row3109_M+H[1+];row3224_M(C13)+H[1+]	C00712	(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid
E267	row2113;row718	row2113_M+H[1+];row718_M+H[1+]	C00712;C01712	(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid$(9E)-Octadecenoic acid; 9-Octadecenoic acid, (E)-; (E)-Oleic acid; D9-trans-Octadecenoic acid; 9-trans-Octadecenoic acid; trans-D9-Octadecenoic acid; trans-9-Octadecenoic acid; trans-Elaidic acid; trans-Oleic acid; Elaidic acid; Acide elaidique; Elaidinsaure
E268	row195;row2187	row195_M-CO2+H[1+];row2187_M-H2O+H[1+]	C10164;C00253	$Nicotinate
E270	row2191;row3282	row2191_M-H2O+H[1+];row3282_M-H2O+H[1+]	C10164;C00253	$Nicotinate
E272	row2614	row2614_M+H[1+]	CE5665	leukoaminochrome
E273	row1669	row1669_M+H[1+]	CE5665	leukoaminochrome
E277	row200	row200_M+H[1+]	C04840	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate
E278	row200	row200_M-H2O+H[1+]	CE5840;CE5838	$
E279	row201;row673	row201_M+Na[1+];row673_M+Na[1+]	dcsptn1crn;clpndcrn	docosa-4,7,10,13,16-pentaenoyl carnitine$clupanodonyl carnitine
E280	row4044	row4044_M+Na[1+]	dcsptn1crn;clpndcrn	docosa-4,7,10,13,16-pentaenoyl carnitine$clupanodonyl carnitine
E283	row208	row208_M-H2O+H[1+]	C00180;C00633	Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde
E284	row2380	row2380_M+H[1+]	C00180;C00633	Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde
E285	row418	row418_M+H[1+]	C00180;C00633	Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde
E288	row2129	row2129_M+Na[1+]	C00259;C00309;C00312;C00310;C00121;C00181;C00508	L-Arabinose$D-Ribulose; D-erythro-2-Pentulose; D-Arabinoketose; D-Arabinulose; D-Riboketose$L-Xylulose$D-Xylulose$D-Ribose$D-Xylose$L-Ribulose; L-erythro-Pentulose; L-Arabinoketose; L-Arabinulose; L-Riboketose
E292	row869	row869_M+H[1+]	C00246	Butanoic acid; Butanoate; Butyrate; Butyric acid
E293	row238;row3150;row3800	row238_M+H[1+];row3150_M+H2O+H[1+];row3800_M+H2O+H[1+]	C00246	Butanoic acid; Butanoate; Butyrate; Butyric acid
E294	row214	row214_M+Na[1+]	C06178	1-Methylpyrrolinium
E295	row2228	row2228_M+Na[1+]	C06178	1-Methylpyrrolinium
E298	row3150;row3800	row3150_M+Na[1+];row3800_M+Na[1+]	C06178	1-Methylpyrrolinium
E301	row2154	row2154_M+Na[1+]	C00379;C00532	Xylitol$L-Arabinitol
E304	row3882;row3969	row3882_M-HCOOH+H[1+];row3969_M+H[1+]	C05838;C00811;C02763;C00166	cis-2-Hydroxycinnamate; 2-Coumarinate$4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate$enol-Phenylpyruvate$Phenylpyruvate
E307	row2374	row2374_M-H2O+H[1+]	C00483;C01183;C02735	Tyramine$N,N-Dimethylaniline N-oxide$Phenylethanolamine; 2-Amino-1-phenylethanol
E308	row2399	row2399_M-H2O+H[1+]	C00483;C01183;C02735	Tyramine$N,N-Dimethylaniline N-oxide$Phenylethanolamine; 2-Amino-1-phenylethanol
E310	row412	row412_M+H[1+]	pcrn	propionyl-carnitine
E311	row222;row3731;row676	row222_M-CO2+H[1+];row3731_M-C3H4O2+H[1+];row676_M+H[1+]	pcrn	propionyl-carnitine
E316	row1027;row1864	row1027_M[1+];row1864_M+H[1+]	C00065;C00740	L-Serine$D-Serine
E319	row331;row4008	row331_M[1+];row4008_M+H[1+]	C00065;C00740	L-Serine$D-Serine
E331	row2152	row2152_M+H[1+]	C00155	L-Homocysteine
E356	row2253;row2735;row2829;row3062;row3265	row2253_M+2H[2+];row2735_M-NH3+H[1+];row2829_M+Na[1+];row3062_M+H[1+];row3265_M(C13)+H[1+]	C00047	L-Lysine
E366	row266;row815	row266_M+H[1+];row815_M+H[1+]	C03214	2-Amino-3-oxobutanoate; 2-Amino-acetoacetate
E374	row266;row3437;row3781;row446;row815;row936	row266_M+H[1+];row3437_M-CO+H[1+];row3781_M-CO2+H[1+];row446_M-CO+H[1+];row815_M+H[1+];row936_M-CO+H[1+]	C00441;C03508	L-Aspartate 4-semialdehyde; Aspartate beta-semialdehyde; L-Aspartic 4-semialdehyde$L-2-Amino-3-oxobutanoic acid; L-2-Amino-3-oxobutanoate; L-2-Amino-acetoacetate; (S)-2-Amino-3-oxobutanoic acid
E386	row1427	row1427_M+H[1+]	C00318	L-Carnitine
E387	row2811;row3870	row2811_M+H[1+];row3870_M+Na[1+]	C00318	L-Carnitine
E388	row1449	row1449_M+Na[1+]	C00318	L-Carnitine
E389	row302	row302_M+Na[1+]	C00318	L-Carnitine
E390	row1922	row1922_M+Na[1+]	C00318	L-Carnitine
E398	row2284;row318	row2284_M-H2O+H[1+];row318_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde
E399	row3882	row3882_M-H2O+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde
E401	row3257	row3257_M-H2O+H[1+]	C03758	Dopamine
E402	row3810	row3810_M-H2O+H[1+]	C03758	Dopamine
E404	row1098;row321;row449;row523	row1098_M+2H[2+];row321_M(C13)+H[1+];row449_M+H[1+];row523_M-H2O+H[1+]	C00249	Hexadecanoate (n-C16:0)
E405	row1287;row1986;row2547;row3943;row832	row1287_M-H2O+H[1+];row1986_M+H[1+];row2547_M+2H[2+];row3943_M-H2O+H[1+];row832_M+H[1+]	C00249	Hexadecanoate (n-C16:0)
E406	row1965	row1965_M+Na[1+]	tetpent6crn;tetpent3crn	tetracosapentaenoyl carnitine$tetracosapentaenoyl carnitine
