CPD_ID	CPD_NAME	mz_row_Statistic	From_mz_row	From_EmpiricalCompound
C02452	Perillyl alcohol; (-)-Perillyl alcohol; p-Mentha-1,8-dien-7-ol; (-)-Perillylalcohol	-6.830639123274669	row103	E187
CE2576		-3.14376178295315	row529	E125
C02679	Dodecanoate (n-C12:0)	-7.734834165903571	row55	E104
C14826	12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid	-6.30884269661641	row135	E203
C14826	12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid	-4.90844694248797	row233	E203
CE2576		-7.56878226521724	row62	E123
C14827	9(S)-HPODE; 9(S)-HPOD; (10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid	-7.3615490394919005	row74	E110
C01595	linoleic acid (all cis C18:2) n-6	-7.97115773421293	row50	E91
C02576	Perillyl aldehyde; Perillaldehyde	-8.06411633848234	row48	E18
C08261		-7.87385945847608	row51	E92
C02679	Dodecanoate (n-C12:0)	4.14800410820867	row325	E104
C02576	Perillyl aldehyde; Perillaldehyde	-7.373145037015081	row73	E18
CE5932	13,14-epoxy-retinol	-10.3868590812327	row18	E6
C04717	(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid; (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate; 13(S)-HPODE; 13S-Hydroperoxy-9Z,11E-octadecadienoic acid	-5.58252599471907	row177	E110
